date, pm25, pm10, o3, so2, no2, co
15-11-2024,232, , ,1, , 
14-11-2024,228,138,61, ,198, 
13-11-2024,225,137,71,1,204,77
12-11-2024,225,136,71, ,210,51
11-11-2024,232,136,71,1,207,51
10-11-2024,230,138,69,2,201,68
09-11-2024,206,137,69,1,200,51
08-11-2024,136,127,69,1,181, 
07-11-2024,111,98,65,1,135,51
06-11-2024,115,91,65,2,100, 
05-11-2024,128,89,65,1,112, 
04-11-2024,202,96,59,1,113,51
03-11-2024,175,128,44,1,107, 
02-11-2024,162,119,69,2,94, 
01-11-2024,178,115,75,2,89, 
31-10-2024,155,120,75,2,135,51
30-10-2024,169,113,61,2,182,51
29-10-2024,178,118,63,2,195, 
28-10-2024,139,121,63,1,149,51
27-10-2024,81,108,67,1,129,51
26-10-2024,90,107,67,1,96, 
25-10-2024,74,101,44,1,95,51
24-10-2024,75,74,55,4,73,77
23-10-2024,73,69,69,1,80,51
22-10-2024,95,86,69,1,122,51
21-10-2024,85,99,63,1,125,51
20-10-2024,64,99,63,1,104,51
19-10-2024,69,72,30,1,72,51
18-10-2024,60,62,55,1,62,51
17-10-2024,57,53,55,1,46,51
16-10-2024,86,49,51,1,70,51
15-10-2024,90,74,61,1,97,51
14-10-2024,77,75,61,1,118, 
13-10-2024,60,65,57,2,116, 
12-10-2024,53,53,57,2,84, 
11-10-2024,51,44,44,1,41,51
10-10-2024,51,45,34,2,41, 
09-10-2024,74,49,34,2,39, 
08-10-2024,78,66,48,2,62, 
07-10-2024,64,69,48,2,81,51
06-10-2024,63,56,48,2,93, 
05-10-2024,73,55,49,2,88,51
04-10-2024,69,65,51,2,72, 
03-10-2024,49,63,51,1,55, 
02-10-2024,51,43,51,2,42,51
01-10-2024,55,43,12,1,60,104
30-09-2024,47,38,30,1,33, 
29-09-2024,35,28,30,1,32,51
28-09-2024,45,30,46,1,30,51
27-09-2024,62,41,46, ,29,51
26-09-2024,63,56,44,1,33, 
25-09-2024,52,54,50,3,32,51
24-09-2024,44,45,50,1,31, 
23-09-2024,35,37,34,1,30,51
22-09-2024,35,28,36,2, , 
21-09-2024,29,29,36,1, , 
20-09-2024,47,23,55,2,14, 
19-09-2024,67,38,55,2,14,51
18-09-2024,55,57,51,1,30,51
17-09-2024,66,50,55,2,31,51
16-09-2024,62,61,55,3,141, 
15-09-2024,51,56,50,4,136,51
14-09-2024,45,44,34,2,30,51
13-09-2024,55,39,34,2,31,51
12-09-2024,70,52,50,2,29,51
11-09-2024,56,62,51,2, , 
10-09-2024,76,47,51,2,28,51
09-09-2024,74,63,38,2,28,51
08-09-2024,65,61,57,2,31, 
07-09-2024,69,54,57,1,31,51
06-09-2024,53,57,42,1,29,51
05-09-2024,62,46,42,1,29,51
04-09-2024,65,54,34,1,21,51
03-09-2024,65,60,30,2,26,51
02-09-2024,76,61,51,1,81,51
01-09-2024,78,68,51,1,88,51
31-08-2024,65,69,28,1,31, 
30-08-2024,68,58,28,1,54, 
29-08-2024,69,60,28,1,51, 
28-08-2024,66,61,51,1,31, 
27-08-2024,62,59,57,1,26,51
26-08-2024,56,57,57,1, , 
25-08-2024,51,51,51,1,17,51
24-08-2024,50,45,57,1, , 
23-08-2024,55,40,57,1,19,51
22-08-2024,60,48,51,1,21,51
21-08-2024,62,53,33,1,21,51
20-08-2024,59,54,36,1, , 
19-08-2024,61,51,34,1,26,51
18-08-2024,69,54,34,1,21,51
17-08-2024,71,61,32,1,31, 
16-08-2024,75,63,46,1,31, 
15-08-2024,75,66,46, ,21,51
14-08-2024,68,65,53,1,24,51
13-08-2024,68,61,57,2, , 
12-08-2024,64,60,57,1,26,51
11-08-2024,66,57,59,1, , 
10-08-2024,68,58,59, ,26,51
09-08-2024,79,60,50,1,24,51
08-08-2024,80,68, ,1,43, 
07-08-2024,80,69,65,1,43, 
06-08-2024,79,71,65,3,30,51
05-08-2024,79,70,46,1,31,51
04-08-2024,74,71,46,1,19,51
03-08-2024,71,70,55,1, , 
02-08-2024,78,66,55,1, , 
01-08-2024,71,75,51,1,43, 
