date, pm25, pm10, o3, no2, so2, co
31-12-2024, ,61,13,2,11,7
29-12-2024,110, , , , , 
28-12-2024,117,59,18,2,10,6
27-12-2024,121,59,17,2,10,7
26-12-2024,121,59,14,2,11,6
25-12-2024,106,60,8,3,10,6
24-12-2024,111,58,12,5,10,5
23-12-2024,138,59,19,6,11,6
22-12-2024, ,63,20,8,11,7
21-12-2024,126, , , , , 
20-12-2024,114,59,4,11,12,9
19-12-2024,124,58,12,8,12,7
18-12-2024,141,61,21,10,12,7
17-12-2024,129,64,20,17,12,10
16-12-2024,131,60,27,16,12,10
15-12-2024,130,61,30,12,12,8
14-12-2024,130,61,33,11,12,8
13-12-2024,125,61,30,10,12,7
12-12-2024,122,60,34,10,12,7
11-12-2024,129,60,28,11,12,8
10-12-2024,143,65,20,10,12,7
09-12-2024,136,65,16,8,11,7
08-12-2024, ,65,13,7,11,7
07-12-2024,121, , , , , 
06-12-2024,118,60,9,9,12,8
05-12-2024,141,60,12,7,11,6
04-12-2024,125,64,10,7,11,7
03-12-2024,113,60,9,7,11,8
02-12-2024,131,59,7,5,11,6
01-12-2024,118,64,9,5,10,5
30-11-2024,124,59,8,8,11,7
29-11-2024,124,61,13,12,12,8
28-11-2024,123,62,18,13,12,8
27-11-2024,116,62,22,13,12,9
26-11-2024,125,60,21,10,12,7
25-11-2024,145,61,23,11,11,8
24-11-2024,125,67,22,10,12,8
23-11-2024,135,61,31,8,12,7
22-11-2024,130,63,36,9,12,8
21-11-2024,138,61,31,8,12,7
20-11-2024,127,67,31,8,11,7
19-11-2024,123,63,33,8,12,6
18-11-2024,144,61,31,9,12,7
17-11-2024,122,66,26,9,14,7
16-11-2024,134,59,31,9,17,6
15-11-2024,137,61,29,9,17,7
14-11-2024,129,61,20,6,16,6
13-11-2024,160,62,15,5,38,6
12-11-2024, ,69,13,6,17,7
31-10-2024,138, , , , , 
30-10-2024,115,75,11,4,11,4
29-10-2024,113,62,19,8,10,6
28-10-2024,99,58,28,10,9,7
27-10-2024,97,57,28,9,10,7
26-10-2024,95,56,20,12,9,7
25-10-2024,89,57,11,13,10,8
24-10-2024,128,56,17,14,9,9
23-10-2024,98,60,14,15,9,9
22-10-2024,89,56,15,12,10,6
21-10-2024,110,55,16,4,10,5
20-10-2024, ,57,18,4,9,5
19-10-2024,78, , , , , 
18-10-2024,78,55,24,4,8,4
17-10-2024,75,55,26,3,9,4
16-10-2024,89,53,21,3,9,4
15-10-2024, ,60,20,3,10,5
14-10-2024,85, , , , , 
13-10-2024,88,54,21,4,9,4
12-10-2024, ,55,16,3,9,4
11-10-2024,80, , , , , 
10-10-2024,90,56,16,3,10,3
09-10-2024,98,55,16,5,9,4
08-10-2024,90,56,13,5,10,5
07-10-2024,118,55,15,4,9,4
06-10-2024, ,58,17,4,9,5
05-10-2024,101, , , , , 
04-10-2024,100,56,19,7,9,6
03-10-2024,93,56,17,10,9,6
02-10-2024,115,55,16,8,10,7
01-10-2024,129,58,17,11,9,5
30-09-2024,98,60,19,11,9,8
29-09-2024,88,55,23,4,9,3
28-09-2024,88,56,21,7,9,4
27-09-2024,87,56,15,12,9,5
26-09-2024, ,55,15,7,9,5
25-09-2024,91, , , , , 
24-09-2024,93,58,17,9,9,8
23-09-2024,109,57,18,7,9,5
22-09-2024, ,66,18,12,7,2
21-09-2024,97, , , , , 
20-09-2024,123,56,9,8,10,6
19-09-2024, ,60,10,11,9,6
17-09-2024,91, , , , , 
16-09-2024,90,57,8,10,10,5
15-09-2024,94,55,9,9,9,6
14-09-2024,89,56,10,9,10,5
13-09-2024,90,56,9,11,10,7
12-09-2024,102,56,8,10,9,7
11-09-2024,101,55,9,9,9,6
10-09-2024,93,56,9,8,10,6
09-09-2024,89,56,8,7,9,4
08-09-2024, ,58,7,10,9,9
07-09-2024,87, , , , , 
06-09-2024,111,56,9,9,9,5
05-09-2024,84,57,7,8,9,8
04-09-2024,94,56,7,2,10,8
03-09-2024,76,58,11,2,9,7
02-09-2024,112,55,2,7,7,4
01-09-2024,99,61,4,10,7,7
31-08-2024,109,55,11,4,6,3
30-08-2024,88,63,24,7,7,2
29-08-2024,96,55,9,10,7,8
28-08-2024,146,56,9,10,7,7
27-08-2024,97,82,10,12,8,8
26-08-2024,139,56,12,10,5,4
25-08-2024, ,65,12,9,9,4
24-08-2024,80, , , , , 
23-08-2024,106,54,10,5,6,5
22-08-2024,90,58,14,5,7,6
21-08-2024,88,57,16,5,21,5
20-08-2024,90,58,17,6,18,3
19-08-2024, ,55,19,6,15,4
18-08-2024,103, , , , , 
17-08-2024,96,61,7,4,3,5
16-08-2024,121,58,11,4,2,5
15-08-2024,106,62,10,5,2,6
14-08-2024,126,60,13,4,2,4
13-08-2024,86,61,18,6,3,5
12-08-2024,99,56,12,6,4,4
11-08-2024,83,56,12,9,4,6
10-08-2024,96,56,10,8,4,6
09-08-2024,100,57,10,8,4,6
08-08-2024,94,59,10,8,4,6
07-08-2024,91,56,10,10,4,10
06-08-2024,89,54,14,8,4,7
05-08-2024,122,56,9,8,4,6
04-08-2024,98,63,12,9,4,6
03-08-2024,98,59,11,6,2,3
02-08-2024,104,57,10,6,3,5
01-08-2024,93,56,11,7,4,5
31-07-2024,103,56,11,6,4,4
30-07-2024,145,57,12,8,5,6
29-07-2024,96,61,12,8,5,5
28-07-2024,90,56,8,6,3,5
27-07-2024,101,56,7,6,3,4
26-07-2024,115,57,5,7,4,5
25-07-2024,80,59,7,8,6,6
24-07-2024,90,55,6,5,3,4
