date, pm25, pm10, o3, no2, so2, co
31-12-2024, ,141, ,30,5,30
29-12-2024,148, , , , , 
28-12-2024,73,75,28,8,7,5
27-12-2024,156,40,14,8,7,4
26-12-2024,195,102,33,10,7,7
25-12-2024,205,124,35,15,7,11
24-12-2024,173,135,22,14,7,12
23-12-2024,150,112,39,21,11,13
22-12-2024,145,108,41,15,13,13
21-12-2024,177,69,49,11,9,8
20-12-2024,180,111,53,15,11,10
19-12-2024,168,124,61,19,14,22
18-12-2024,152,108,64,15,12,16
17-12-2024,158,98,48,20,8,7
16-12-2024,162,102,55,19,10,8
15-12-2024,150,106,48,21,11,7
14-12-2024,129,96,27,23,11,16
13-12-2024,150,94,51,20,7,10
12-12-2024,147,99,66,15,9,8
11-12-2024,142,96,83,17,9,11
10-12-2024,120,88,71,15,8,9
09-12-2024,81,88,60,13,8,4
08-12-2024,129,84,50,17,7,3
07-12-2024,137,89,73,23,7,9
06-12-2024,142,97,66,22,8,10
05-12-2024,139,98,70,18,9,10
04-12-2024,159,95,69,20,8,10
03-12-2024,176,102,71,17,8,12
02-12-2024,179,116,80,15,12,12
01-12-2024,184,122,101,15,8,9
30-11-2024,185,124,98,16,8,11
29-11-2024,161,125,100,16,9,11
28-11-2024,163,103,89,14,7,7
27-11-2024,155,115,69,24,8,9
26-11-2024,137,106,64,26,9,12
25-11-2024,153,92,67,23,8,15
24-11-2024,158,97,73,22,8,14
23-11-2024,178,95,85,17,9,13
22-11-2024,179,110,96,20,12,14
21-11-2024,181,114,99,21,9,14
20-11-2024,159,121,95,22,8,13
19-11-2024,200,92,86,13,7,10
18-11-2024,167,134,83,16,7,17
17-11-2024,166,107,92,20,8,16
16-11-2024,164,101,95,18,8,14
15-11-2024,162,108,101,18,10,15
14-11-2024,159,96,90,15,12,11
13-11-2024,202,90,74,12,11,11
12-11-2024,182,157,68,15,13,15
11-11-2024,171,123,75,13,9,14
10-11-2024,165,111,76,13,9,12
09-11-2024,189,99,65,11,9,9
08-11-2024,193,155,60,17,8,16
07-11-2024,186,148,74,17,9,19
06-11-2024,170,147,79,13,8,17
05-11-2024,154,127,83,14,8,14
04-11-2024,117,120,76,16,8,13
03-11-2024,141,110,67,13,7,12
02-11-2024,127,115,77,11,8,12
01-11-2024,115,108,69,9,8,8
31-10-2024,145,114,67,10,10,10
30-10-2024,132,124,57,17,9,15
29-10-2024,121,102,46,15,7,13
28-10-2024,119,97,49,14,7,15
27-10-2024,146,92,41,11,5,11
26-10-2024,143,112,78,14,8,12
25-10-2024,156,112,61,14,8,12
24-10-2024,164,116,57,13,7,13
23-10-2024,152,135,65,13,5,13
22-10-2024,160,110,49,12,7,12
21-10-2024,80,91,47,8,7,10
20-10-2024,93,55,38,4,5,7
19-10-2024,130,59,39,6,5,7
18-10-2024,113,92,46,12,6,9
17-10-2024,140,85,45,11,6,9
16-10-2024,160,92,46,9,5,10
15-10-2024,126,104,38,9,5,10
14-10-2024,91,79,34,9,5,9
13-10-2024,122,54,31,6,4,9
12-10-2024,108,65,30,6,5,9
11-10-2024,131,68,38,5,5,9
10-10-2024,125,84,40,6,6,9
09-10-2024,143,83,36,8,5,10
08-10-2024,134,96,40,8,4,11
07-10-2024,120,93,48,9,6,11
06-10-2024,123,88,44,8,5,10
05-10-2024,118,81,38,4,5,7
04-10-2024,131,77,39,4,5,7
03-10-2024,105,79,34,4,6,8
02-10-2024,99,78,33,5,6,8
01-10-2024,95,77,33,6,5,9
30-09-2024,61,69,39,5,5,7
29-09-2024,50,43,26,4,5,9
28-09-2024,47,31,23,4,5,6
27-09-2024,57,34,16,3,5,6
26-09-2024,78,39,19,3,5,5
25-09-2024,84,55,18,4,5,5
24-09-2024,95,58,25,4,6,4
23-09-2024,104,63,25,3,4,5
22-09-2024,106,75,28,7,7,7
21-09-2024,99,74,31,6,5,7
20-09-2024,86,70,30,4,5,6
19-09-2024,86,67,29,3,5,4
18-09-2024,57,66,28,5,4,5
17-09-2024,77,43,26,5,5,4
16-09-2024,80,70,26,5,4,6
15-09-2024,72,76,27,6,5,6
14-09-2024,71,61,25,5,5,5
13-09-2024,79,64,23,4,6,1
12-09-2024,86,70,19,4,5,4
11-09-2024,45,57,20,3,5,3
10-09-2024,56,26,22,3,6,4
09-09-2024,63,32,21,5,5,5
08-09-2024,73,43,24,4,5,6
07-09-2024,54,48,18,3,4,6
06-09-2024,61,36,17,4,4,5
05-09-2024,62,49,18,3,5,4
04-09-2024,51,44,15,4,4,5
03-09-2024,70,34,17,4,5,6
02-09-2024,84,46,16,6,5,6
01-09-2024,68,48,13,8,4,10
31-08-2024,61,46,23,5,4,6
30-08-2024,59,43,22,6,4,5
29-08-2024,50,46,15,8,5,8
28-08-2024,45,42,16,5,6,7
27-08-2024,51,39,18,4,4,2
26-08-2024,44,41,18,3,5,2
25-08-2024,36,29,17,3,6,3
24-08-2024,50,20,20,4,5,4
23-08-2024,45,30,21,5,5,5
22-08-2024,77,27,22,5,4,6
