date,pm25,pm10,o3,no2,so2,co
31-12-2024,159,140,3,42,17,28
29-12-2024,155,,,,,
28-12-2024,165,70,15,19,9,8
27-12-2024,177,75,12,18,9,8
26-12-2024,168,87,21,14,9,9
25-12-2024,176,83,22,18,8,7
24-12-2024,179,89,22,21,8,8
23-12-2024,163,97,20,20,9,9
22-12-2024,159,82,24,10,9,6
21-12-2024,171,75,27,12,9,6
20-12-2024,172,94,27,16,8,19
19-12-2024,193,88,28,12,4,8
18-12-2024,186,97,29,13,8,11
17-12-2024,162,119,21,53,9,19
16-12-2024,149,87,30,29,5,8
15-12-2024,145,83,25,32,6,8
14-12-2024,144,77,23,32,6,7
13-12-2024,134,86,22,34,5,9
12-12-2024,144,74,22,22,7,7
11-12-2024,129,77,28,28,4,7
10-12-2024,166,74,21,27,19,13
09-12-2024,145,74,23,13,5,8
08-12-2024,112,116,24,13,5,9
07-12-2024,120,67,25,11,7,8
06-12-2024,120,71,27,15,6,10
05-12-2024,101,78,19,24,4,16
04-12-2024,131,65,21,17,7,8
03-12-2024,118,74,22,21,5,11
02-12-2024,138,71,24,18,6,11
01-12-2024,143,77,25,20,7,10
30-11-2024,153,79,28,20,7,11
29-11-2024,141,81,29,24,5,12
28-11-2024,137,237,27,17,6,8
27-11-2024,139,68,28,11,5,6
26-11-2024,146,76,26,17,5,8
25-11-2024,141,86,23,28,4,12
24-11-2024,153,85,23,25,7,12
23-11-2024,153,84,30,32,6,15
22-11-2024,159,81,33,27,4,11
21-11-2024,162,93,39,38,5,12
20-11-2024,174,90,30,29,4,10
19-11-2024,147,99,29,25,6,9
18-11-2024,155,75,25,17,7,9
17-11-2024,145,78,24,8,4,8
16-11-2024,138,76,23,19,4,8
15-11-2024,132,81,28,30,5,12
14-11-2024,145,76,32,20,6,11
13-11-2024,132,74,30,13,5,7
12-11-2024,136,76,28,26,5,9
11-11-2024,166,86,24,32,6,11
10-11-2024,158,107,27,40,5,16
09-11-2024,153,106,27,36,5,14
08-11-2024,152,89,30,24,6,11
07-11-2024,162,93,30,9,8,12
06-11-2024,170,103,34,29,8,9
05-11-2024,177,108,37,29,7,12
04-11-2024,163,114,41,24,8,9
03-11-2024,151,97,39,28,8,11
02-11-2024,164,92,26,22,6,8
01-11-2024,175,102,26,25,8,9
31-10-2024,213,107,28,22,8,8
30-10-2024,133,127,27,23,6,9
29-10-2024,130,93,23,27,7,10
28-10-2024,155,72,29,18,5,7
27-10-2024,196,85,34,13,7,6
26-10-2024,145,100,43,18,6,7
25-10-2024,147,90,26,34,6,9
24-10-2024,157,85,29,23,5,8
23-10-2024,150,90,30,21,6,8
22-10-2024,113,85,41,15,6,7
21-10-2024,125,68,35,20,10,7
20-10-2024,133,68,38,21,5,7
19-10-2024,129,77,40,24,5,6
18-10-2024,122,81,38,36,6,12
17-10-2024,127,77,44,31,4,9
16-10-2024,114,77,40,41,5,11
15-10-2024,108,70,37,33,4,10
14-10-2024,134,61,30,22,8,10
13-10-2024,138,69,38,13,4,7
12-10-2024,129,69,33,11,4,5
11-10-2024,115,73,37,14,4,5
10-10-2024,127,67,36,22,4,8
09-10-2024,118,74,39,13,6,5
08-10-2024,126,76,34,12,4,5
07-10-2024,108,74,39,16,4,6
06-10-2024,98,65,29,18,5,6
05-10-2024,95,64,25,12,4,5
04-10-2024,96,63,25,13,5,5
03-10-2024,84,67,25,9,3,7
02-10-2024,99,60,21,11,6,8
01-10-2024,125,71,23,10,6,6
30-09-2024,90,82,27,15,5,8
29-09-2024,73,55,24,15,5,8
28-09-2024,60,34,24,6,2,6
27-09-2024,65,25,19,5,3,6
26-09-2024,87,30,16,4,3,6
25-09-2024,141,41,18,4,3,6
24-09-2024,135,70,31,7,3,7
23-09-2024,115,69,32,12,3,7
22-09-2024,126,59,34,16,4,8
21-09-2024,97,69,31,18,3,8
20-09-2024,88,49,27,13,3,9
19-09-2024,62,41,25,11,7,5
18-09-2024,107,34,16,5,5,4
17-09-2024,97,65,20,11,5,4
16-09-2024,89,69,19,9,5,3
15-09-2024,84,80,21,10,6,4
14-09-2024,89,74,18,11,6,4
13-09-2024,93,72,15,12,6,4
12-09-2024,91,72,15,8,5,4
11-09-2024,55,56,14,12,6,7
10-09-2024,109,28,9,8,5,6
09-09-2024,76,64,21,12,5,7
08-09-2024,64,47,15,13,6,7
07-09-2024,53,32,12,10,5,7
06-09-2024,68,24,13,7,6,6
05-09-2024,65,31,12,10,4,6
04-09-2024,79,31,13,10,4,6
03-09-2024,96,34,15,11,3,7
02-09-2024,80,43,16,6,5,5
01-09-2024,82,37,17,8,4,6
31-08-2024,76,49,20,9,4,7
30-08-2024,66,43,22,10,5,6
29-08-2024,64,37,21,6,6,4
28-08-2024,63,39,14,4,6,4
27-08-2024,55,42,16,6,4,6
26-08-2024,69,21,13,3,5,5
25-08-2024,94,28,14,3,7,3
24-08-2024,92,45,16,6,5,5
23-08-2024,97,53,18,13,5,7
22-08-2024,80,62,14,12,8,7
21-08-2024,80,49,12,15,8,10
20-08-2024,83,45,14,12,6,7
19-08-2024,75,54,13,9,6,5
18-08-2024,91,53,14,8,6,5
17-08-2024,82,61,17,10,5,5
16-08-2024,61,49,18,12,6,7
15-08-2024,70,28,14,9,5,5
14-08-2024,69,28,14,9,5,6
13-08-2024,80,37,12,9,5,6
12-08-2024,66,42,15,9,5,7
11-08-2024,82,28,11,14,6,9
